UserId,UserName,Followers,TotalTweets,TotalLikes,AverageLikes,MeanLikes,TotalReplies,AverageReplies,MeanReplies,TotalRetweets,AverageRetweets,MeanRetweets,LogFollowers,LogRetweets,PopularityCluster
47602140,Ralf Schuler,30644,6,202,36.5,33.67,0,0.0,0.0,94,13.5,15.67,10.33,4.55,9
3407623283,Cornelius Roemer,30438,1,556,556.0,556.0,0,0.0,0.0,83,83.0,83.0,10.32,4.43,9
1117348550663393280,ECMO_Karagiannidis,30244,4,2141,508.5,535.25,1,0.0,0.25,635,137.5,158.75,10.32,6.46,9
975686023907872769,Paul Schreyer,30237,1,623,623.0,623.0,0,0.0,0.0,239,239.0,239.0,10.32,5.48,9
1465717260396466182,Generalmajor Carsten Breuer,29909,1,10948,10948.0,10948.0,0,0.0,0.0,618,618.0,618.0,10.31,6.43,9
469195976,Gerald Grosz,29872,1,494,494.0,494.0,0,0.0,0.0,118,118.0,118.0,10.3,4.78,9
330993102,MHRAgovuk,29573,1,125,125.0,125.0,0,0.0,0.0,43,43.0,43.0,10.29,3.78,9
2765750460,Marcus Franz,29509,16,4833,132.5,302.06,5,0.0,0.31,1048,38.5,65.5,10.29,6.96,9
1348915362688081921,Carsten Watzl,29400,1,364,364.0,364.0,1,1.0,1.0,80,80.0,80.0,10.29,4.39,9
16347021,Lyndsey Fifield,29041,1,755,755.0,755.0,0,0.0,0.0,387,387.0,387.0,10.28,5.96,9
4650835518,Dr Mollie James,28712,1,1422,1422.0,1422.0,0,0.0,0.0,441,441.0,441.0,10.27,6.09,9
1137438540,Melissa 4 Freedom ????,28516,3,1605,599.0,535.0,0,0.0,0.0,437,176.0,145.67,10.26,6.08,9
14865439,Kevin Hill,28332,25,0,0.0,0.0,25,1.0,1.0,1557,1.0,62.28,10.25,7.35,9
1089471953021399041,Panthea,28183,1,3488,3488.0,3488.0,0,0.0,0.0,622,622.0,622.0,10.25,6.43,9
738177614947356674,Freedom Caucuser,27998,1,0,0.0,0.0,1,1.0,1.0,1511,1511.0,1511.0,10.24,7.32,9
